Issue id	Summary
32330	Certification Tool not awarding certificate based on Final Course Grade
27915	Assessment not Listed after due date has passed
23435	Not able to find Quiz in Assessments (Exception Testing)
27887	Total Grade Points while grading the questions being misaligned
36786	Samigo - Enter comments for students with no submission
10928	Remote users experience audio problems
36783	Email notifications over hidden folders with accessible contents
23404	Clicking 'Back to home screen' from embed content page is redirected to dissimilar help page
36769	Gradebook % of the final grade for each item
54132	"Change language for ""Extra credit"" when creating/editing Gradebook item"
23387	Assessment Submission time not shown for Excepted Student/Group after the Due date/time is over 
13144	Evalsys web report show number in group
41180	Null sometimes in description field for search
41174	Assignment can be taken before prerequisite is completed
41164	Group dropdown missing on assignment released to group(s)
23420	Student's view of returned assignment when resubmission allowed does not have history
58431	Preferences time zone / adding forum date and time
23416	Unable to download my own zip file
62690	Adding Back button at the bottom of Send to printer page
62682	Bulk edit syllabus has an extra set of checkboxes
27889	Assignments-All Purpose Item: Student list should be ordered either by first name or last name
27885	Connection tool takes extra steps to connect
41134	Gradebook NG / missing key when hovering next page
36738	Sent with copy to email address is wrong/misleading
54134	Selectable receiver in Submission Notification Email Options
12362	Cannot re-assign hierarchy nodes in an existing evaluation
36701	New Gradebook Custom Export Option: Choose Section(s) to Export
45531	No content is displayed when a image/vedio file is uploaded through url in lessons tool and edited later with an option to open in same window
45528	"Unable to see the ""Return to Lessons"" button on top "
62701	Assignments List Adding a Box for Release of Grades
62681	Connect button in pop-up when searching for user does not work
54083	Modify ckeditor.launch configuration to use toolbarGroups
62683	Oauth_timestamp is intermittently incorrect
58292	Resources and Dropbox special site quota in GB
36611	Move Roster2 to use portal.i18n library
62558	update Translation
12107	Anonymous evaluations lists responder statuses as untaken
53970	Bleed through when question text wraps
36615	GradebookNG row alignment issue
62590	Port the master roster code back to 11.x
23259	Include citationCollectionId in stacktrace to fix broken lists more quickly
45397	Back to top side floating button
41064	Assignments always show red flag
49685	msgcntr: forums: Gradebook de-anonymizes an anon Forum topic where NO user is allowed to see posters' IDs
41055	Page order Tool in Site Info drag and drop in IE9-11 issue
32129	Embeded SCORM content not resizing correctly
53918	Add 'Class Test' to Event Types
12835	Using Ampersand In title is transformed to &amp; after saving
12683	Editing a template item creates a loop
27723	commons-pool2 & commons-dbcp2
62533	"When conducting Sakai tests and quizzes with time limit e.g 10 min, for some students it shows 8 min and for some it shows 10. what can be the issue that cause this."
36595	"""Insert original text"" link in Forums does not work"
45337	Upgrade Samigo QTI to support 2.x versions
11910	Evaluations can sometimes duplicate the responses on an saved submission
45381	Peer assignment options not persistently displayed
53926	Penalty factor for test
45378	Upgrade to pluto 3.0
40972	Tidy up accessors in SiteAction
62495	Numeric Response -Mark with calculation error
62489	Strange way to run the resubmission option in the configuration of an assignment
36546	portal chat is unusable on a mobile
40952	Late Accept and Due Date fields behave incorrectly
36538	"User IDs are shown as ""display-userid"" "
32097	Profile images are not shown; alt text is incorrect
45344	wrong image used in tools dropdown shortcut
40945	wrong icon used for LTI (external) tools
